ID,Current_Job,Qualification,Years_of_experience,Industry
54, Software Engineer ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Insurance
55, Business developer/design engineer,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Business Products & Services
56, Frontend Developer ,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Consumer Products & Services
57, Frontend Developer ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Consumer Products & Services
58, Web Developer ,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Consumer Products & Services
59, Business Development Manager,"Conflict Resolution Training, Certified International Trade Professional (CITP)",0,Health
60, FullStack Web Developer,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",5,Software
61, React Native Developer,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",6,Software
62, Global business developer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",4,Food & Beverage
63, Freelance Web Developer ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Manufacturing
64, Head of Unit/Spa Consultant,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Software
65, Software Engineer ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Financial Services
66, Freelance Web Developer,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",15,Construction
67, Product Manager ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Government Services
68, Content Manager ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",0,Software
69, Mobile Engineer ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",6,Health
70, Frontend Engineer ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Food & Beverage
71, Business Development Manager,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",5,Energy
72, Intermediate Software Engineer,"Cisco Certified Network Associate (CCNA), CompTIA Security+",4,Consumer Products & Services
73, Frontend Web Developer,Certified Clinical Research Professional (CCRP),10,Software
74, Applinet Technology,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Software
75, Digital Strategist || E,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",6,Environmental Services
76, Software Engineer ,Certified SolidWorks Associate (CSWA),3,Health
77, Engineering Manager ,Microsoft Certified: Azure Fundamentals,7,Logistics & Transportation
78, AI Team Lead ,Google Data Analytics Professional Certificate,3,Government Services
79, Web Designer ,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",15,Construction
80," Real Estate Broker, Marketer and Web ...","LEED Green Associate, Certified Environmental Professional (CEP)",10,Consumer Products & Services
81, Software Developer ,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Health
82, Freelance Graphic Designer,Biomedical Engineering Certificate,10,Logistics & Transportation
83, Lead Android Developer ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Software
84," Founder, Head of Growth & Web Developer",Teaching English as a Foreign Language (TEFL),7,Construction
85, Data Analyst ,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Advertising & Marketing
86, Enterprise Sales Executive ,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Financial Services
87, Fullstack Software Engineer ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",11,Business Products & Services
88, Business Development Officer ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Consumer Products & Services
89, Web Developer,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",8,Security
90, Digital Marketing Specialist,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",10,IT System Development
91, Sales Manager ,"National Board Certification (NBCT), Google Certified Educator",6,Human Resources
92, Founder & CEO ,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",10,Government Services
93, Business Analyst ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Health
94, Business Development Manager,"Certified Mediator, Certified Ethical Hacker (CEH)",4,Retail
95, Lead Digital Strategist ,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,Telecommunications
96, Wordpress Developer ,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Advertising & Marketing
97, Web Designer ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Health
98, Information Technology Instructor,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",8,Financial Services
99, IT Support Specialist ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Logistics & Transportation
100, Ex: phastMoney,"Certified Stage Combatant, Actor's Equity Association Membership",10,Logistics & Transportation
101, Managing Director ,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Construction
102, Expert Web Developer and ...,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",8,Financial Services
103, Senior Developer ,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Software
104, Wordpress Developer,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",3,Government Services
105, Senior Product Manager ,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",7,Construction
106, Sendstack,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",10,Software
107, Stoke,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Business Products & Services
108," Stirling, Scotland, United Kingdom","National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",3,Business Products & Services
109, Software Programmer ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Software
110,Founder,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",12,Government Services
111, RBC,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
112, I.B.O TECH CONSULTS,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",7,Government Services
113, Lead Software QA Engineer,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Advertising & Marketing
114, Marketing Consultant ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",9,Health
115, Product management Tutor,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",8,Food & Beverage
116, Director of Operations,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Software
117," Sheffield, England, United Kingdom","Google Ads Certification, Facebook Blueprint Certification",6,Construction
118, AfRipul Group,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Education
119, Business Development Specialist,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",9,Logistics & Transportation
120, Founder ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Human Resources
121, Marketing Manager ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Logistics & Transportation
122, Digital Marketing Strategist,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",10,Financial Services
123," Cardiff, Wales, United Kingdom","Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",12,Business Products & Services
124, Executive Project Manager ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",5,Consumer Products & Services
125, Customer Service Manager ,"Accredited in Public Relations (APR), Crisis Communication Certification",2,Logistics & Transportation
126, Inlaks,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Health
127, ZeroComplex AI,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Business Products & Services
128, Account Research Specialist,"Certified Nonprofit Professional (CNP), Fundraising Certification",7,Health
129, Director of Physiotherapy Services,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Business Products & Services
130, Immaculate Services,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Telecommunications
131, Automotive Service Advisor,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Manufacturing
132, Administrative Manager ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",8,Business Products & Services
133, Assitant project manager,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Health
134, Content Analyst,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Consumer Products & Services
135, Credit Analyst ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Security
136, Account/Admin officer ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Software
137, Temajiks Global Ventures,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",6,Health
138, Android Developer,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",12,Consumer Products & Services
139, Founder ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",12,IT System Development
140," London, England, United Kingdom","Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Computer Hardware
141, Federal Medical Centre Abeokuta,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",4,Consumer Products & Services
142, i,"Cisco Certified Network Associate (CCNA), CompTIA Security+",8,Government Services
143, Lead Account Management ,Certified Clinical Research Professional (CCRP),8,Energy
144," Middlesbrough, England, United Kingdom","Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Government Services
145, Human Resources Administrative Assistant,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",12,Business Products & Services
146, Chaintum Research,Certified SolidWorks Associate (CSWA),15,Construction
147, HDE Global ...,Microsoft Certified: Azure Fundamentals,5,Government Services
148, Friedrich Schiller University Jena,Google Data Analytics Professional Certificate,4,Logistics & Transportation
149, Eastgate Films,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",3,Telecommunications
150, Founder ,"LEED Green Associate, Certified Environmental Professional (CEP)",7,Advertising & Marketing
151, System Administration Specialist,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Financial Services
152, Marketing Assistant ,Biomedical Engineering Certificate,3,Software
153, Nord Automobiles Limited,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Construction
154, Social Media Manager ,Teaching English as a Foreign Language (TEFL),3,Software
155, BeeSage,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Logistics & Transportation
156, University of South Wales,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",5,Advertising & Marketing
157, Mentor ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",8,Software
158, Chatham Financial,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Government Services
159," Head, Admin Operations","Certified Ethical Hacker (CEH), Project Management Professional (PMP)",8,Human Resources
160, Founder ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",7,Consumer Products & Services
161, Performance and Improvement Officer,"National Board Certification (NBCT), Google Certified Educator",6,Manufacturing
162, Head of Customer Success,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",5,Security
163, Black Women Blockchain Council,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Energy
164, Customer Service Representative,"Certified Mediator, Certified Ethical Hacker (CEH)",6,Software
165, Customer Success Manager,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,IT Management
166, ATB Financial,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",5,Consumer Products & Services
167," Murray, Kentucky, United States","Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Consumer Products & Services
168, Senior Brand Executive,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Health
169, Afe Babalola University,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Government Services
170, COUNTRY BOARD NON,"Certified Stage Combatant, Actor's Equity Association Membership",3,Software
171," Diamond Investment,LLC ...","Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Advertising & Marketing
172, Product Manager ,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",10,Advertising & Marketing
173, Solar Installer / Technician,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Consumer Products & Services
174, inssurance ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Advertising & Marketing
175, Entrepreneur In Residence,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",10,Business Products & Services
176," Nairobi County, Kenya","Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",0,Software
177, Car Rental Assistant ,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Environmental Services
178, Management Associate ,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",8,Advertising & Marketing
179, Georgia State University,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",7,Consumer Products & Services
180, Managing Director ,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",12,Energy
181, CTO ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Manufacturing
182, Aptum,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",6,Advertising & Marketing
183, Solutions Architect ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,IT Management
184," Furzton, England, United ...","Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",7,Software
185, Sole Trader ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Health
186, Teesside University,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Business Products & Services
187, Project Team Lead ,"Google Ads Certification, Facebook Blueprint Certification",8,Construction
188, Application Engineer ,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Food & Beverage
189, Engagement Lead and ...,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",5,Food & Beverage
190, Lead Planner ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",8,Retail
191, مكلنبورغ فوربومرن Buchholz ألمانيا,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Food & Beverage
192, Deputy CEO ,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",6,Manufacturing
193, Data Analyst ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",3,Government Services
194, Registered Branch Manager,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Government Services
195, Business Developer ,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Logistics & Transportation
196, Kian Smith Group,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Energy
197, ADNOC Distribution,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Real Estate
198, International Billboard Advertising,"Certified Nonprofit Professional (CNP), Fundraising Certification",7,Government Services
199, Intron Health,"Conflict Resolution Training, Certified International Trade Professional (CITP)",8,Software
200, HSE Inspector,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
201, The African Leadership University,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Software
202, Universidade de Trás,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Advertising & Marketing
203, Software Engineer ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Business Products & Services
204, Quality Assurance Test Engineer,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Telecommunications
205, Corporate Assistant manager,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",8,Construction
206, User Experience Designer ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Consumer Products & Services
207, Marketing Lead ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Manufacturing
208, Indonesia | Profil Profesional,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Real Estate
209, Vendition ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Advertising & Marketing
210, wfa ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",4,Advertising & Marketing
211, Develhope,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Construction
212, E.S.T(École Supérieure de Technologie),Biomedical Engineering Certificate,6,Education
213, Emigreat (Techstars '23),"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Health
214, Chairman of the Board/Founder/Idea ...,Teaching English as a Foreign Language (TEFL),5,Engineering
215, Bangladesh | Professional Profile,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",0,Business Products & Services
216, cole minwrs,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",4,Energy
217," Jagakarsa, Jakarta Raya, Indonesia","Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",4,Software
218, Logistics Supervisor ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",4,Financial Services
219, Production Technician ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",10,Human Resources
220, Udemy Alumni ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",5,Computer Hardware
221, Team Leader ,"National Board Certification (NBCT), Google Certified Educator",5,Retail
222, Community Manager ...,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",8,Software
223, Técnico laboratorio ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",7,Advertising & Marketing
224, Propietario ,"Certified Mediator, Certified Ethical Hacker (CEH)",10,Software
225, Assistant Manager ,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",12,Food & Beverage
226, Informa Markets,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Energy
227, Full Stack Engineer ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",7,Government Services
228, Business Owner ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",7,Health
229, INSEAD ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,IT System Development
230, Temuco ...,"Certified Stage Combatant, Actor's Equity Association Membership",10,Construction
231, Università degli Studi di Napoli 'Parthenope',"Smithsonian Museum Studies Certificate, Certified Art Appraiser",10,Health
232, CAFFE PALADAR Firenze,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",8,Education
233, Jerez de la Frontera y ...,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",3,Logistics & Transportation
234, Networker ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Software
235, teknisi elektromedik ,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",0,Computer Hardware
236, Freelance,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",5,IT Management
237, Psychologist/Data Analyst,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",5,Health
238, Data Scientist (Junior),"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",5,Government Services
239, Therapist ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",12,Software
240, Clinical Psychologist ,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",5,Manufacturing
241, Clinical Psychologist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Consumer Products & Services
242, Data Analyst ,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",5,Construction
243, Data Annotator ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Health
244, Data Analyst ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Human Resources
245, Programs Intern ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Consumer Products & Services
246, Qualified Behaviour Analyst ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",7,Business Products & Services
247, Mental Health Focal Person ,"Google Ads Certification, Facebook Blueprint Certification",2,Manufacturing
248," Head Researcher, Psychometrics Dept","United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Real Estate
249, Mental Health Therapist ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Security
250, Virtual Assistant ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Business Products & Services
251, Psychologist Assistant ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,IT System Development
252, Lead Clinical Psychologist ,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",5,Construction
253, Data Analyst ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",5,Financial Services
254, Clinical Psychologist,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Insurance
255, Class Teacher ,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
256, Data Annotator ,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Advertising & Marketing
257, HerTechTrail,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Human Resources
258, Data Research Analyst ,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Retail
259, Data Analyst ,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Energy
260, Career Development Specialist,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Consumer Products & Services
261, Data & Risk Analyst,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",6,Consumer Products & Services
262, Customer Experience Analyst,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Health
263, Clinical Psychologist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",7,Insurance
264, Ayodele Ola ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",6,Business Products & Services
265, Clinical Psychology Intern,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Consumer Products & Services
266, Data Entry Academy ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Travel & Hospitality
267, Nnamdi Azikiwe University,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,IT System Development
268, Executive Administrator ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Real Estate
269, University of Lagos,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Health
